,result,kills,deaths,dragons,elders,heralds,barons,goldat15,golddiffat15
233,0,3,16,3.0,0.0,1.0,0.0,23657.0,-1348.0
234,1,10,10,2.0,0.0,1.0,1.0,25761.0,2003.0
235,0,10,10,3.0,0.0,1.0,1.0,23758.0,-2003.0
236,1,20,4,3.0,0.0,2.0,1.0,26388.0,3011.0
237,0,4,20,0.0,0.0,0.0,0.0,23377.0,-3011.0
238,0,7,20,2.0,0.0,2.0,0.0,26163.0,1644.0
239,1,20,7,5.0,1.0,0.0,2.0,24519.0,-1644.0
240,1,14,9,3.0,0.0,0.0,2.0,24447.0,-527.0
241,0,9,14,4.0,0.0,1.0,0.0,24974.0,527.0
242,1,23,9,3.0,0.0,1.0,2.0,25442.0,182.0
243,0,9,23,1.0,0.0,1.0,0.0,25260.0,-182.0
244,0,3,14,2.0,0.0,0.0,0.0,23656.0,-344.0
245,1,14,3,3.0,0.0,2.0,1.0,24000.0,344.0
246,1,11,5,2.0,0.0,2.0,1.0,26527.0,4397.0
247,0,5,11,3.0,0.0,0.0,0.0,22130.0,-4397.0
248,0,7,8,4.0,1.0,2.0,2.0,24938.0,1299.0
249,1,8,7,4.0,0.0,0.0,0.0,23639.0,-1299.0
250,1,23,12,2.0,0.0,2.0,1.0,28318.0,3906.0
251,0,12,23,1.0,0.0,0.0,0.0,24412.0,-3906.0
252,1,16,7,2.0,0.0,1.0,2.0,24505.0,-342.0
253,0,7,16,3.0,0.0,1.0,0.0,24847.0,342.0
254,0,4,20,0.0,0.0,1.0,0.0,24936.0,808.0
255,1,20,4,4.0,0.0,1.0,1.0,24128.0,-808.0
256,1,14,4,4.0,0.0,1.0,1.0,24043.0,152.0
257,0,4,14,2.0,0.0,1.0,0.0,23891.0,-152.0
258,0,3,18,0.0,0.0,0.0,0.0,23602.0,-4325.0
259,1,18,3,4.0,0.0,2.0,1.0,27927.0,4325.0
260,0,9,15,2.0,0.0,1.0,0.0,22102.0,-2095.0
261,1,15,9,3.0,0.0,1.0,1.0,24197.0,2095.0
262,0,8,13,2.0,0.0,1.0,0.0,24532.0,-1377.0
263,1,13,8,3.0,0.0,1.0,2.0,25909.0,1377.0
264,1,10,13,1.0,0.0,2.0,1.0,26508.0,2643.0
265,0,13,10,2.0,0.0,0.0,0.0,23865.0,-2643.0
266,1,13,2,3.0,0.0,1.0,1.0,26336.0,3195.0
267,0,2,13,2.0,0.0,1.0,0.0,23141.0,-3195.0
268,0,2,11,3.0,0.0,2.0,0.0,24807.0,-1212.0
269,1,11,2,3.0,0.0,0.0,1.0,26019.0,1212.0
270,0,11,25,0.0,,,0.0,,
271,1,25,11,3.0,,,1.0,,
272,1,13,7,3.0,0.0,2.0,0.0,25096.0,1346.0
273,0,7,13,2.0,0.0,0.0,2.0,23750.0,-1346.0
274,1,21,7,2.0,0.0,2.0,1.0,25186.0,1153.0
275,0,7,21,2.0,0.0,0.0,0.0,24033.0,-1153.0
276,0,18,18,2.0,0.0,1.0,1.0,23342.0,-3809.0
277,1,18,18,3.0,0.0,1.0,1.0,27151.0,3809.0
278,0,10,12,4.0,0.0,1.0,1.0,26063.0,1237.0
279,1,12,10,2.0,1.0,1.0,1.0,24826.0,-1237.0
280,0,5,14,2.0,0.0,1.0,0.0,24335.0,631.0
281,1,14,5,3.0,0.0,1.0,2.0,23704.0,-631.0
282,1,17,4,3.0,0.0,2.0,1.0,26690.0,4120.0
283,0,4,17,2.0,0.0,0.0,0.0,22570.0,-4120.0
284,0,8,11,0.0,0.0,2.0,0.0,25338.0,1335.0
285,1,11,8,4.0,0.0,0.0,1.0,24003.0,-1335.0
286,0,10,24,0.0,0.0,0.0,0.0,24358.0,-2786.0
287,1,24,10,4.0,0.0,1.0,1.0,27144.0,2786.0
288,1,13,5,2.0,0.0,2.0,1.0,27111.0,4501.0
289,0,5,13,1.0,0.0,0.0,0.0,22610.0,-4501.0
290,0,13,33,1.0,0.0,1.0,0.0,24984.0,-2457.0
291,1,32,13,4.0,0.0,1.0,2.0,27441.0,2457.0
292,0,12,18,0.0,0.0,0.0,0.0,24223.0,640.0
293,1,18,12,5.0,1.0,2.0,2.0,23583.0,-640.0
294,1,20,5,2.0,0.0,2.0,1.0,26504.0,1768.0
295,0,5,20,2.0,0.0,0.0,0.0,24736.0,-1768.0
296,1,18,6,4.0,0.0,1.0,0.0,23677.0,585.0
297,0,6,18,2.0,0.0,1.0,2.0,23092.0,-585.0
298,0,4,14,2.0,0.0,2.0,0.0,25384.0,543.0
299,1,14,4,4.0,0.0,0.0,2.0,24841.0,-543.0
300,0,6,16,2.0,0.0,0.0,0.0,25455.0,-1181.0
301,1,16,6,3.0,0.0,2.0,1.0,26636.0,1181.0
302,0,4,13,0.0,0.0,0.0,0.0,23269.0,-3900.0
303,1,13,4,3.0,0.0,2.0,1.0,27169.0,3900.0
304,1,14,11,3.0,0.0,1.0,0.0,25400.0,1126.0
305,0,11,14,2.0,0.0,1.0,2.0,24274.0,-1126.0
306,1,21,5,3.0,0.0,2.0,1.0,26365.0,1669.0
307,0,5,21,1.0,0.0,0.0,0.0,24696.0,-1669.0
308,1,12,11,2.0,0.0,0.0,1.0,24093.0,-1090.0
309,0,11,12,3.0,0.0,2.0,0.0,25183.0,1090.0
310,1,15,8,5.0,1.0,1.0,2.0,24773.0,555.0
311,0,8,15,0.0,0.0,1.0,0.0,24218.0,-555.0
312,1,23,6,4.0,,,1.0,,
313,0,6,23,1.0,,,0.0,,
314,1,27,10,4.0,0.0,2.0,1.0,28793.0,4072.0
315,0,10,27,1.0,0.0,0.0,1.0,24721.0,-4072.0
316,0,8,20,2.0,0.0,2.0,0.0,24642.0,1516.0
317,1,20,8,2.0,0.0,0.0,1.0,23126.0,-1516.0
